antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'rest_ecg_ST-T wave abnormality', 'thalassemia_Fixed Defect'})","frozenset({'exercise_induced_angina_No', 'fasting_blood_sugar_Lower than 120 mg/ml', 'target_1'})",0.2751219512195122,0.3804878048780488,0.2,0.7269503546099291,1.910574649936352,1.0,0.0953194527067222,2.2688628444726007,0.6574861307159505,0.43897216274089934,0.559250572401854,0.6262956901254774
"frozenset({'exercise_induced_angina_No', 'fasting_blood_sugar_Lower than 120 mg/ml', 'target_1'})","frozenset({'rest_ecg_ST-T wave abnormality', 'thalassemia_Fixed Defect'})",0.3804878048780488,0.2751219512195122,0.2,0.5256410256410257,1.910574649936352,1.0,0.0953194527067222,1.528121292023731,0.7693105434991359,0.43897216274089934,0.34560168409428166,0.6262956901254774
"frozenset({'oldpeak_Low', 'vessels_colored_by_flourosopy_Zero', 'thalassemia_Fixed Defect'})","frozenset({'target_1', 'exercise_induced_angina_No', 'fasting_blood_sugar_Lower than 120 mg/ml'})",0.335609756097561,0.3804878048780488,0.24390243902439024,0.7267441860465116,1.9100327966607036,1.0,0.11620701963117192,2.267151011935651,0.71712187958884,0.5165289256198348,0.5589177806262589,0.6838849135360763
"frozenset({'target_1', 'exercise_induced_angina_No', 'fasting_blood_sugar_Lower than 120 mg/ml'})","frozenset({'oldpeak_Low', 'vessels_colored_by_flourosopy_Zero', 'thalassemia_Fixed Defect'})",0.3804878048780488,0.335609756097561,0.24390243902439024,0.641025641025641,1.9100327966607034,1.0,0.11620701963117192,1.8508013937282224,0.7690708661417324,0.5165289256198348,0.4596935125569486,0.6838849135360763
"frozenset({'target_1', 'thalassemia_Fixed Defect'})","frozenset({'oldpeak_Low', 'sex_Female'})",0.40195121951219515,0.27219512195121953,0.20878048780487804,0.5194174757281553,1.9082541671016457,1.0,0.09937132659131467,1.514422271495442,0.7958561387995303,0.44863731656184475,0.3396821885004815,0.643221282666945
"frozenset({'oldpeak_Low', 'sex_Female'})","frozenset({'target_1', 'thalassemia_Fixed Defect'})",0.27219512195121953,0.40195121951219515,0.20878048780487804,0.7670250896057347,1.9082541671016455,1.0,0.09937132659131467,2.567009380863038,0.65396757786074,0.44863731656184475,0.6104416261759837,0.643221282666945
"frozenset({'chest_pain_type_Typical angina', 'thalassemia_Reversable Defect'})","frozenset({'target_0', 'sex_Male'})",0.26926829268292685,0.4029268292682927,0.20682926829268292,0.7681159420289854,1.9063410183528087,1.0,0.09833384889946457,2.5748780487804863,0.6506285109706021,0.44444444444444436,0.6116320924505065,0.6407165666561392
"frozenset({'target_0', 'sex_Male'})","frozenset({'chest_pain_type_Typical angina', 'thalassemia_Reversable Defect'})",0.4029268292682927,0.26926829268292685,0.20682926829268292,0.5133171912832929,1.9063410183528087,1.0,0.09833384889946457,1.5014537070743839,0.796275743001603,0.44444444444444436,0.33397879982026063,0.6407165666561392
"frozenset({'exercise_induced_angina_Yes', 'target_0'})",frozenset({'chest_pain_type_Typical angina'}),0.2673170731707317,0.4848780487804878,0.24682926829268292,0.9233576642335766,1.9043090660752837,1.0,0.11721308744794764,6.721114982578391,0.6481318716020273,0.4884169884169884,0.8512151625746515,0.7162059950946555
frozenset({'chest_pain_type_Typical angina'}),"frozenset({'exercise_induced_angina_Yes', 'target_0'})",0.4848780487804878,0.2673170731707317,0.24682926829268292,0.5090543259557344,1.9043090660752837,1.0,0.11721308744794764,1.492391043582567,0.9218693855551563,0.4884169884169884,0.3299343330287986,0.7162059950946555
"frozenset({'vessels_colored_by_flourosopy_Zero', 'slope_Downsloping', 'thalassemia_Fixed Defect'})","frozenset({'oldpeak_Low', 'target_1'})",0.21951219512195122,0.4917073170731707,0.2048780487804878,0.9333333333333332,1.898148148148148,1.0,0.0969422962522308,7.624390243902428,0.60625,0.40462427745664736,0.8688419705694176,0.6749999999999999
"frozenset({'oldpeak_Low', 'target_1'})","frozenset({'vessels_colored_by_flourosopy_Zero', 'slope_Downsloping', 'thalassemia_Fixed Defect'})",0.4917073170731707,0.21951219512195122,0.2048780487804878,0.41666666666666663,1.898148148148148,1.0,0.0969422962522308,1.337979094076655,0.9309021113243762,0.40462427745664736,0.25260416666666663,0.6749999999999999
"frozenset({'chest_pain_type_Typical angina', 'thalassemia_Reversable Defect'})",frozenset({'target_0'}),0.26926829268292685,0.4868292682926829,0.24878048780487805,0.9239130434782608,1.897817373878191,1.0,0.1176928019036288,6.744529616724728,0.6474043823136731,0.49038461538461536,0.851731691188626,0.7174675437832185
frozenset({'target_0'}),"frozenset({'chest_pain_type_Typical angina', 'thalassemia_Reversable Defect'})",0.4868292682926829,0.26926829268292685,0.24878048780487805,0.5110220440881763,1.897817373878191,1.0,0.1176928019036288,1.4944062375049978,0.921874301051219,0.49038461538461536,0.3308379108015764,0.7174675437832185
"frozenset({'chest_pain_type_Typical angina', 'thalassemia_Reversable Defect', 'fasting_blood_sugar_Lower than 120 mg/ml'})",frozenset({'target_0'}),0.2224390243902439,0.4868292682926829,0.2048780487804878,0.9210526315789473,1.891941778293429,1.0,0.0965882212968471,6.500162601626014,0.6063093744398637,0.4061895551257253,0.84615769461677,0.6709471574728404
frozenset({'target_0'}),"frozenset({'chest_pain_type_Typical angina', 'thalassemia_Reversable Defect', 'fasting_blood_sugar_Lower than 120 mg/ml'})",0.4868292682926829,0.2224390243902439,0.2048780487804878,0.42084168336673344,1.891941778293429,1.0,0.0965882212968471,1.3425706810701326,0.9186854970124931,0.4061895551257253,0.2551602577803033,0.6709471574728404
"frozenset({'oldpeak_Low', 'vessels_colored_by_flourosopy_Zero', 'exercise_induced_angina_No', 'thalassemia_Fixed Defect'})","frozenset({'target_1', 'fasting_blood_sugar_Lower than 120 mg/ml'})",0.29073170731707315,0.44390243902439025,0.24390243902439024,0.8389261744966443,1.8898886348550779,1.0,0.1148459250446163,3.4524390243902445,0.663878954607978,0.4970178926441352,0.7103496997527375,0.6941883619735969
"frozenset({'target_1', 'fasting_blood_sugar_Lower than 120 mg/ml'})","frozenset({'oldpeak_Low', 'vessels_colored_by_flourosopy_Zero', 'exercise_induced_angina_No', 'thalassemia_Fixed Defect'})",0.44390243902439025,0.29073170731707315,0.24390243902439024,0.5494505494505494,1.8898886348550776,1.0,0.1148459250446163,1.5742296252230812,0.8467368421052631,0.4970178926441352,0.3647686563780098,0.6941883619735969
"frozenset({'target_1', 'slope_Downsloping', 'fasting_blood_sugar_Lower than 120 mg/ml'})","frozenset({'oldpeak_Low', 'exercise_induced_angina_No', 'thalassemia_Fixed Defect'})",0.28292682926829266,0.4029268292682927,0.2146341463414634,0.7586206896551725,1.8827753193621108,1.0,0.10063533610945866,2.4735888501742167,0.6538651824366111,0.4554865424430642,0.5957290962361957,0.6456541704934458
"frozenset({'oldpeak_Low', 'exercise_induced_angina_No', 'thalassemia_Fixed Defect'})","frozenset({'target_1', 'slope_Downsloping', 'fasting_blood_sugar_Lower than 120 mg/ml'})",0.4029268292682927,0.28292682926829266,0.2146341463414634,0.5326876513317191,1.8827753193621108,1.0,0.10063533610945866,1.5344622772652596,0.7852792632204397,0.4554865424430642,0.34830590831974445,0.6456541704934458
"frozenset({'chest_pain_type_Typical angina', 'thalassemia_Reversable Defect'})","frozenset({'target_0', 'fasting_blood_sugar_Lower than 120 mg/ml'})",0.26926829268292685,0.4068292682926829,0.2048780487804878,0.7608695652173912,1.8702429360859139,1.0,0.09533182629387268,2.4805321507760527,0.6367728399771123,0.43478260869565216,0.5968606979405033,0.6322333437597747
"frozenset({'target_0', 'fasting_blood_sugar_Lower than 120 mg/ml'})","frozenset({'chest_pain_type_Typical angina', 'thalassemia_Reversable Defect'})",0.4068292682926829,0.26926829268292685,0.2048780487804878,0.5035971223021583,1.8702429360859136,1.0,0.09533182629387268,1.4720537292329443,0.7844454887218044,0.43478260869565216,0.3206769697726465,0.6322333437597747
"frozenset({'chest_pain_type_Typical angina', 'thalassemia_Reversable Defect', 'sex_Male'})",frozenset({'target_0'}),0.22731707317073171,0.4868292682926829,0.20682926829268292,0.9098712446351931,1.868973999501148,1.0,0.09616466389054133,5.69375145180023,0.6017307509052792,0.4076923076923077,0.824368870249188,0.6673604720169953
frozenset({'target_0'}),"frozenset({'chest_pain_type_Typical angina', 'thalassemia_Reversable Defect', 'sex_Male'})",0.4868292682926829,0.22731707317073171,0.20682926829268292,0.4248496993987976,1.868973999501148,1.0,0.09616466389054133,1.3434452281805047,0.9060280507927397,0.4076923076923077,0.2556451286411206,0.6673604720169953
"frozenset({'chest_pain_type_Typical angina', 'sex_Male'})","frozenset({'thalassemia_Reversable Defect', 'target_0'})",0.3551219512195122,0.3121951219512195,0.20682926829268292,0.5824175824175825,1.8655563186813189,1.0,0.09596192742415229,1.6471116816431322,0.7194645048953843,0.4491525423728814,0.3928766269191802,0.6224587912087912
"frozenset({'thalassemia_Reversable Defect', 'target_0'})","frozenset({'chest_pain_type_Typical angina', 'sex_Male'})",0.3121951219512195,0.3551219512195122,0.20682926829268292,0.6625,1.8655563186813187,1.0,0.09596192742415229,1.9107497741644082,0.6745617556536867,0.4491525423728814,0.4766452344931921,0.6224587912087912
"frozenset({'vessels_colored_by_flourosopy_Zero', 'exercise_induced_angina_No', 'thalassemia_Fixed Defect'})","frozenset({'oldpeak_Low', 'target_1', 'fasting_blood_sugar_Lower than 120 mg/ml'})",0.3053658536585366,0.42829268292682926,0.24390243902439024,0.7987220447284346,1.8648977126347277,1.0,0.11311647828673407,2.8403871467286113,0.6676573033707865,0.49800796812749004,0.6479353171444461,0.6840990633664952
"frozenset({'oldpeak_Low', 'target_1', 'fasting_blood_sugar_Lower than 120 mg/ml'})","frozenset({'vessels_colored_by_flourosopy_Zero', 'exercise_induced_angina_No', 'thalassemia_Fixed Defect'})",0.42829268292682926,0.3053658536585366,0.24390243902439024,0.5694760820045558,1.8648977126347275,1.0,0.11311647828673407,1.61346238224287,0.8112150170648463,0.49800796812749004,0.3802148652453226,0.6840990633664952
"frozenset({'target_1', 'slope_Downsloping'})","frozenset({'oldpeak_Low', 'exercise_induced_angina_No', 'thalassemia_Fixed Defect'})",0.33170731707317075,0.4029268292682927,0.24878048780487805,0.75,1.8613801452784502,1.0,0.11512671029149316,2.388292682926829,0.6924574209245743,0.5120481927710844,0.5812908496732025,0.6837167070217918
"frozenset({'oldpeak_Low', 'exercise_induced_angina_No', 'thalassemia_Fixed Defect'})","frozenset({'target_1', 'slope_Downsloping'})",0.4029268292682927,0.33170731707317075,0.24878048780487805,0.6174334140435835,1.8613801452784502,1.0,0.11512671029149316,1.7468663167644334,0.7750544662309368,0.5120481927710844,0.4275463494812747,0.6837167070217918
"frozenset({'oldpeak_Low', 'vessels_colored_by_flourosopy_Zero', 'thalassemia_Fixed Defect'})","frozenset({'target_1', 'fasting_blood_sugar_Lower than 120 mg/ml'})",0.335609756097561,0.44390243902439025,0.27707317073170734,0.8255813953488372,1.8598262202913367,1.0,0.1280951814396193,3.18829268292683,0.6958491034311597,0.5514563106796116,0.6863525091799265,0.7248786097623308
"frozenset({'target_1', 'fasting_blood_sugar_Lower than 120 mg/ml'})","frozenset({'oldpeak_Low', 'vessels_colored_by_flourosopy_Zero', 'thalassemia_Fixed Defect'})",0.44390243902439025,0.335609756097561,0.27707317073170734,0.6241758241758242,1.8598262202913365,1.0,0.1280951814396193,1.7678219940094135,0.8313565604151223,0.5514563106796116,0.43433218763615244,0.7248786097623308
"frozenset({'oldpeak_Low', 'target_1', 'exercise_induced_angina_No', 'fasting_blood_sugar_Lower than 120 mg/ml'})","frozenset({'vessels_colored_by_flourosopy_Zero', 'thalassemia_Fixed Defect'})",0.3678048780487805,0.3570731707317073,0.24390243902439024,0.6631299734748011,1.857126291835167,1.0,0.11256918500892327,1.9085308238909162,0.7300493827160495,0.5070993914807302,0.47603675692211095,0.6730950413822092
"frozenset({'vessels_colored_by_flourosopy_Zero', 'thalassemia_Fixed Defect'})","frozenset({'oldpeak_Low', 'target_1', 'exercise_induced_angina_No', 'fasting_blood_sugar_Lower than 120 mg/ml'})",0.3570731707317073,0.3678048780487805,0.24390243902439024,0.6830601092896175,1.857126291835167,1.0,0.11256918500892327,1.9946846089150545,0.7178634294385433,0.5070993914807302,0.4986676111448424,0.6730950413822092
"frozenset({'rest_ecg_ST-T wave abnormality', 'exercise_induced_angina_No', 'thalassemia_Fixed Defect'})","frozenset({'target_1', 'fasting_blood_sugar_Lower than 120 mg/ml'})",0.24390243902439024,0.44390243902439025,0.2,0.8200000000000001,1.8472527472527474,1.0,0.09173111243307557,3.0894308943089444,0.6066089693154996,0.4100000000000001,0.6763157894736842,0.6352747252747253
"frozenset({'target_1', 'fasting_blood_sugar_Lower than 120 mg/ml'})","frozenset({'rest_ecg_ST-T wave abnormality', 'exercise_induced_angina_No', 'thalassemia_Fixed Defect'})",0.44390243902439025,0.24390243902439024,0.2,0.45054945054945056,1.8472527472527474,1.0,0.09173111243307557,1.3760975609756096,0.824775353016688,0.4100000000000001,0.2733073378234669,0.6352747252747253
"frozenset({'vessels_colored_by_flourosopy_Zero', 'exercise_induced_angina_No', 'thalassemia_Fixed Defect'})","frozenset({'target_1', 'fasting_blood_sugar_Lower than 120 mg/ml'})",0.3053658536585366,0.44390243902439025,0.2497560975609756,0.8178913738019169,1.8425025453779447,1.0,0.1142034503271862,3.0536585365853655,0.6582744469803372,0.5,0.6725239616613418,0.6902643682196398
"frozenset({'target_1', 'fasting_blood_sugar_Lower than 120 mg/ml'})","frozenset({'vessels_colored_by_flourosopy_Zero', 'exercise_induced_angina_No', 'thalassemia_Fixed Defect'})",0.44390243902439025,0.3053658536585366,0.2497560975609756,0.5626373626373626,1.8425025453779447,1.0,0.1142034503271862,1.588233852187768,0.822265625,0.5,0.3703697987405853,0.6902643682196398
"frozenset({'oldpeak_Low', 'vessels_colored_by_flourosopy_Zero', 'thalassemia_Fixed Defect'})","frozenset({'target_1', 'slope_Downsloping'})",0.335609756097561,0.33170731707317075,0.2048780487804878,0.6104651162790697,1.8403727770177838,1.0,0.09355383700178463,1.7156170367673822,0.6872945947835816,0.4430379746835442,0.4171193345781701,0.6140560875512995
"frozenset({'target_1', 'slope_Downsloping'})","frozenset({'oldpeak_Low', 'vessels_colored_by_flourosopy_Zero', 'thalassemia_Fixed Defect'})",0.33170731707317075,0.335609756097561,0.2048780487804878,0.6176470588235293,1.8403727770177836,1.0,0.09355383700178463,1.7376360225140708,0.6832811956899548,0.4430379746835442,0.42450548501338853,0.6140560875512995
"frozenset({'target_1', 'exercise_induced_angina_No', 'fasting_blood_sugar_Lower than 120 mg/ml'})","frozenset({'vessels_colored_by_flourosopy_Zero', 'thalassemia_Fixed Defect'})",0.3804878048780488,0.3570731707317073,0.2497560975609756,0.6564102564102564,1.838307412077904,1.0,0.11389411064842356,1.8712049508554787,0.7360974409448819,0.512,0.46558499669273573,0.6779319041614124
"frozenset({'vessels_colored_by_flourosopy_Zero', 'thalassemia_Fixed Defect'})","frozenset({'target_1', 'exercise_induced_angina_No', 'fasting_blood_sugar_Lower than 120 mg/ml'})",0.3570731707317073,0.3804878048780488,0.2497560975609756,0.6994535519125683,1.838307412077904,1.0,0.11389411064842356,2.0612860310421284,0.7092896433990895,0.512,0.5148659696226496,0.6779319041614124
"frozenset({'thalassemia_Fixed Defect', 'oldpeak_Low', 'exercise_induced_angina_No', 'fasting_blood_sugar_Lower than 120 mg/ml'})","frozenset({'target_1', 'slope_Downsloping'})",0.3521951219512195,0.33170731707317075,0.2146341463414634,0.6094182825484765,1.8372168812123189,1.0,0.09780844735276621,1.7110188548693999,0.7034501642935378,0.4573804573804574,0.4155529045433408,0.628238553038944
"frozenset({'target_1', 'slope_Downsloping'})","frozenset({'thalassemia_Fixed Defect', 'oldpeak_Low', 'exercise_induced_angina_No', 'fasting_blood_sugar_Lower than 120 mg/ml'})",0.33170731707317075,0.3521951219512195,0.2146341463414634,0.6470588235294117,1.8372168812123186,1.0,0.09780844735276621,1.8354471544715443,0.6818845388188455,0.4573804573804574,0.4551736357193479,0.628238553038944
"frozenset({'chest_pain_type_Typical angina', 'exercise_induced_angina_Yes'})",frozenset({'target_0'}),0.2760975609756098,0.4868292682926829,0.24682926829268292,0.8939929328621907,1.8363582288251412,1.0,0.1124168947055324,4.840910569105687,0.6291509966653526,0.47826086956521735,0.7934272931249914,0.7005034804591515
frozenset({'target_0'}),"frozenset({'chest_pain_type_Typical angina', 'exercise_induced_angina_Yes'})",0.4868292682926829,0.2760975609756098,0.24682926829268292,0.5070140280561122,1.8363582288251412,1.0,0.1124168947055324,1.4684037279397182,0.8875095808473225,0.47826086956521735,0.31898838107481803,0.7005034804591515
"frozenset({'oldpeak_Low', 'target_1', 'thalassemia_Fixed Defect'})","frozenset({'vessels_colored_by_flourosopy_Zero', 'slope_Downsloping'})",0.3902439024390244,0.28780487804878047,0.2048780487804878,0.5249999999999999,1.8241525423728813,1.0,0.09256395002974419,1.4993581514762513,0.7409523809523809,0.4329896907216495,0.33304794520547937,0.6184322033898304
"frozenset({'vessels_colored_by_flourosopy_Zero', 'slope_Downsloping'})","frozenset({'oldpeak_Low', 'target_1', 'thalassemia_Fixed Defect'})",0.28780487804878047,0.3902439024390244,0.2048780487804878,0.711864406779661,1.8241525423728813,1.0,0.09256395002974419,2.116212338593974,0.6343770384866274,0.4329896907216495,0.5274576271186441,0.6184322033898304
"frozenset({'oldpeak_Low', 'vessels_colored_by_flourosopy_Zero', 'slope_Downsloping', 'thalassemia_Fixed Defect'})",frozenset({'target_1'}),0.21951219512195122,0.5131707317073171,0.2048780487804878,0.9333333333333332,1.8187579214195182,1.0,0.09223081499107673,7.3024390243902335,0.5767857142857142,0.38817005545286504,0.8630594522378088,0.6662864385297844
frozenset({'target_1'}),"frozenset({'vessels_colored_by_flourosopy_Zero', 'slope_Downsloping', 'thalassemia_Fixed Defect'})",0.5131707317073171,0.21951219512195122,0.2048780487804878,0.3992395437262357,1.8187579214195182,1.0,0.09223081499107673,1.2991664093856128,0.924706555969081,0.38817005545286504,0.2302756653992395,0.6662864385297844
frozenset({'target_1'}),"frozenset({'oldpeak_Low', 'vessels_colored_by_flourosopy_Zero', 'slope_Downsloping', 'thalassemia_Fixed Defect'})",0.5131707317073171,0.21951219512195122,0.2048780487804878,0.3992395437262357,1.8187579214195182,1.0,0.09223081499107673,1.2991664093856128,0.924706555969081,0.38817005545286504,0.2302756653992395,0.6662864385297844
"frozenset({'vessels_colored_by_flourosopy_Zero', 'slope_Downsloping', 'thalassemia_Fixed Defect'})",frozenset({'target_1'}),0.21951219512195122,0.5131707317073171,0.2048780487804878,0.9333333333333332,1.8187579214195182,1.0,0.09223081499107673,7.3024390243902335,0.5767857142857142,0.38817005545286504,0.8630594522378088,0.6662864385297844
"frozenset({'oldpeak_Low', 'exercise_induced_angina_No', 'target_1'})","frozenset({'thalassemia_Fixed Defect', 'slope_Downsloping'})",0.4253658536585366,0.32195121951219513,0.24878048780487805,0.5848623853211009,1.8166180150125104,1.0,0.11183343248066627,1.6333108745452094,0.7822830320583241,0.49902152641878667,0.38774668338723517,0.6787948290241868
"frozenset({'thalassemia_Fixed Defect', 'slope_Downsloping'})","frozenset({'oldpeak_Low', 'exercise_induced_angina_No', 'target_1'})",0.32195121951219513,0.4253658536585366,0.24878048780487805,0.7727272727272727,1.8166180150125104,1.0,0.11183343248066627,2.528390243902439,0.6629707998307237,0.49902152641878667,0.6044914338632504,0.6787948290241868
"frozenset({'thalassemia_Fixed Defect', 'slope_Downsloping'})","frozenset({'oldpeak_Low', 'exercise_induced_angina_No', 'fasting_blood_sugar_Lower than 120 mg/ml', 'target_1'})",0.32195121951219513,0.3678048780487805,0.2146341463414634,0.6666666666666666,1.8125552608311228,1.0,0.09621891731112432,1.8965853658536584,0.6611510791366907,0.45174537987679675,0.47273662551440326,0.6251105216622458
"frozenset({'oldpeak_Low', 'exercise_induced_angina_No', 'fasting_blood_sugar_Lower than 120 mg/ml', 'target_1'})","frozenset({'thalassemia_Fixed Defect', 'slope_Downsloping'})",0.3678048780487805,0.32195121951219513,0.2146341463414634,0.583554376657825,1.8125552608311228,1.0,0.09621891731112432,1.6281808295789963,0.7091049382716048,0.45174537987679675,0.3858176058622598,0.6251105216622458
"frozenset({'vessels_colored_by_flourosopy_Zero', 'thalassemia_Fixed Defect'})","frozenset({'oldpeak_Low', 'target_1', 'fasting_blood_sugar_Lower than 120 mg/ml'})",0.3570731707317073,0.42829268292682926,0.27707317073170734,0.7759562841530055,1.8117430324756965,1.0,0.12414134443783464,2.551766805472934,0.6968838829639445,0.54510556621881,0.6081146608478338,0.7114405566550905
"frozenset({'oldpeak_Low', 'target_1', 'fasting_blood_sugar_Lower than 120 mg/ml'})","frozenset({'vessels_colored_by_flourosopy_Zero', 'thalassemia_Fixed Defect'})",0.42829268292682926,0.3570731707317073,0.27707317073170734,0.6469248291571754,1.8117430324756962,1.0,0.12414134443783464,1.8209346970889064,0.7836970629236168,0.54510556621881,0.45083148692883884,0.7114405566550905
frozenset({'thalassemia_Fixed Defect'}),"frozenset({'target_1', 'sex_Female'})",0.5307317073170732,0.22048780487804878,0.21170731707317073,0.3988970588235294,1.8091570145757416,1.0,0.09468744794765019,1.2968031625270382,0.9530931143834368,0.3924050632911392,0.2288729478024,0.6795370249869859
"frozenset({'target_1', 'sex_Female'})",frozenset({'thalassemia_Fixed Defect'}),0.22048780487804878,0.5307317073170732,0.21170731707317073,0.9601769911504424,1.8091570145757416,1.0,0.09468744794765019,11.783848238482365,0.5737644405737586,0.3924050632911392,0.9151380788548928,0.6795370249869859
frozenset({'thalassemia_Fixed Defect'}),"frozenset({'oldpeak_Low', 'target_1', 'sex_Female'})",0.5307317073170732,0.2175609756097561,0.20878048780487804,0.39338235294117646,1.8081475863888157,1.0,0.09331397977394407,1.2898388765705837,0.9524355412205878,0.3869801084990958,0.22470936629015695,0.6765118042732788
"frozenset({'oldpeak_Low', 'target_1', 'sex_Female'})",frozenset({'thalassemia_Fixed Defect'}),0.2175609756097561,0.5307317073170732,0.20878048780487804,0.9596412556053812,1.8081475863888155,1.0,0.09331397977394407,11.627425474254741,0.5712238096347915,0.3869801084990958,0.9139964386601158,0.6765118042732788
"frozenset({'chest_pain_type_Typical angina', 'sex_Male'})",frozenset({'exercise_induced_angina_Yes'}),0.3551219512195122,0.33658536585365856,0.21560975609756097,0.6071428571428572,1.8038302277432714,1.0,0.09608090422367638,1.6886917960088692,0.6910207350716382,0.4528688524590164,0.40782563025210095,0.6238612836438924
frozenset({'exercise_induced_angina_Yes'}),"frozenset({'chest_pain_type_Typical angina', 'sex_Male'})",0.33658536585365856,0.3551219512195122,0.21560975609756097,0.6405797101449275,1.8038302277432714,1.0,0.09608090422367638,1.7942171518489378,0.6717128027681661,0.4528688524590164,0.44265386217632485,0.6238612836438924
"frozenset({'vessels_colored_by_flourosopy_Zero', 'thalassemia_Fixed Defect'})","frozenset({'target_1', 'fasting_blood_sugar_Lower than 120 mg/ml'})",0.3570731707317073,0.44390243902439025,0.28585365853658534,0.8005464480874317,1.8034288116255328,1.0,0.12734800713860794,2.788105579685934,0.6929259867313697,0.5549242424242423,0.6413335250695043,0.7222512460217378
"frozenset({'target_1', 'fasting_blood_sugar_Lower than 120 mg/ml'})","frozenset({'vessels_colored_by_flourosopy_Zero', 'thalassemia_Fixed Defect'})",0.44390243902439025,0.3570731707317073,0.28585365853658534,0.6439560439560439,1.8034288116255328,1.0,0.12734800713860794,1.8057512797350193,0.8011196934315309,0.5549242424242423,0.446213877169871,0.7222512460217378
"frozenset({'target_1', 'exercise_induced_angina_No'})","frozenset({'oldpeak_Low', 'vessels_colored_by_flourosopy_Zero', 'thalassemia_Fixed Defect'})",0.44390243902439025,0.335609756097561,0.2682926829268293,0.6043956043956045,1.8008880654229493,1.0,0.11931469363474123,1.679430894308943,0.799712918660287,0.5248091603053435,0.4045601975117395,0.7019071045233836
